# Parity manifest: which comparison tier each corpus input and
# observable is entitled to. Published evidence, regenerated by
# `zig build parity-manifest -Denable-oracle=true`; the portable
# gate lives in conformance/parity_expectations.tsv.
#
# Coordinate deviations are in bond lengths (one bond = 50 units)
# and are per-(architecture, toolchain, optimize-mode) values: they
# describe the build that produced this file, not a promise about
# any other build.
#
# member	bucket	atoms	status	clean_pose	arch_unstable	order_unstable	arch_max_dev_bl	order_max_dev_bl
adversarial/149	medium	42	ok	0	coordinates,component_transforms,component_transforms_set	-	0.002	0.000
adversarial/150	small	24	ok	1	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/151	small	22	ok	0	coordinates,component_transforms,component_transforms_set	-	0.012	0.000
adversarial/152	small	24	ok	0	coordinates,component_transforms,component_transforms_set	-	0.018	0.000
adversarial/153	medium	43	ok	0	coordinates,component_transforms,component_transforms_set	-	0.026	0.000
adversarial/154	huge	70	ok	0	coordinates,component_transforms,component_transforms_set	-	0.004	0.000
adversarial/155	medium	39	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/156	large	65	ok	0	coordinates,component_transforms,component_transforms_set	-	0.028	0.000
adversarial/157	medium	40	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/158	small	15	ok	1	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/159	small	16	ok	0	coordinates,component_transforms,component_transforms_set	-	0.001	0.000
adversarial/160	medium	45	ok	0	coordinates,component_transforms,component_transforms_set	-	0.002	0.000
adversarial/161	small	10	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/162	small	22	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/163	medium	45	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/164	medium	45	ok	0	coordinates,component_transforms,component_transforms_set	-	0.007	0.000
adversarial/165	medium	40	ok	0	coordinates,component_transforms,component_transforms_set	-	17.845	0.000
adversarial/166	medium	33	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/167	small	23	ok	0	coordinates,dofs,dofs_set,dof_penalties,dof_penalties_set,component_transforms,component_transforms_set	-	2.590	0.000
